,defectId,severity,closedDate,application,openDate,rootCause,phase,projectName,status
1,4676,D-Low,12/5/2016,Pending Transactions,11/15/2016,Not Available,System Integration Test (SIT),A,Closed
2,4677,D-Low,11/15/2016,Pending Transactions,11/15/2016,Not Available,System Integration Test (SIT),A,Closed
3,4687,D-Low,1/18/2017,Pending Transactions,11/15/2016,Component Code,System Integration Test (SIT),A,Closed
4,4688,D-Low,11/30/2016,Pending Transactions,11/15/2016,Not Available,System Integration Test (SIT),A,Closed
5,4689,C-Medium,1/4/2017,Pending Transactions,11/15/2016,Component Code,System Integration Test (SIT),A,Closed
6,4693,C-Medium,11/23/2016,Pending Transactions,11/16/2016,Connectivity,System Integration Test (SIT),A,Closed
7,4694,C-Medium,11/18/2016,Pending Transactions,11/16/2016,Reference Data,System Integration Test (SIT),A,Closed
8,4695,D-Low,1/3/2017,Pending Transactions,11/16/2016,Detailed Design,System Integration Test (SIT),A,Closed
9,4700,B-High,11/22/2016,Pending Transactions,11/16/2016,Component Integration,System Integration Test (SIT),A,Closed
10,4705,B-High,12/20/2016,Pending Transactions,11/18/2016,Component Code,System Integration Test (SIT),A,Closed
11,4707,C-Medium,1/4/2017,Pending Transactions,11/21/2016,Component Code,System Integration Test (SIT),A,Closed
12,4710,C-Medium,12/2/2016,Pending Transactions,11/22/2016,Not Available,System Integration Test (SIT),A,Closed
13,4730,B-High,12/15/2016,Pending Transactions,11/30/2016,Not Available,System Integration Test (SIT),A,Closed
14,4745,C-Medium,1/3/2017,Pending Transactions,12/8/2016,Connectivity,System Integration Test (SIT),A,Closed
